message_id,conversation_id,sent_at,sent_by,type,value
77,16,2024-03-20 07:54:22.880421 +00:00,1,TEXT,7+5foT5GhUdS7ytr80in/QggS+f1dYegLCXZAFBawybWzc6sJ5B5NOD2F9bCzI4o
78,16,2024-03-20 07:56:37.147560 +00:00,2,TEXT,re0SYy+RUuvdn0H5333uNR8qKNPBn49qFFi+C+Ey5Gs=
79,17,2024-03-22 22:42:17.733225 +00:00,9,TEXT,L5EwBHAZYxGf/aCO6tTfocu4Dj61G/ZXxHmsP3yfPoo=
80,18,2024-03-25 21:40:44.194712 +00:00,9,TEXT,GGaWhKdfUJ/7Zf1BNglnz/nzT5/tf3Y9pu7KxBqqBF0=
81,19,2024-03-27 12:53:08.496129 +00:00,18,TEXT,l2yqg1r47Hqa9eS+KuvwkVzk772pYm0B0JOgPLUQuJQDUL2/vK5C+B4qOWELSvCD
82,20,2024-03-27 22:25:15.741815 +00:00,1,TEXT,Y69S0TFJUv/zbPuKGivCRQLNpZnsWO8WFQutnbpwcX6uV7egzzu0ylHNHdVbWPOR
83,21,2024-03-27 22:25:21.170034 +00:00,2,TEXT,whLWx1XIOVQ+HchCYrFkp94RkrepzEU76h+7y2QNKM+sPjgP/TQGaIru8oBg6+US
84,22,2024-03-27 22:25:25.265597 +00:00,3,TEXT,JpFOCzfaU4RNhDvMUEiAp4KNN61yOowgrDi3uNm1dDoc/q00tsIIn0+xrKoo3XuH
85,23,2024-03-27 22:25:29.267895 +00:00,4,TEXT,yW3d2K3tlEEtCGYeSdp5SyUlgeoQEyGrGcYxZZcJE9IOF3Eem0Zo5c9ov8b57fsA
86,24,2024-03-27 22:25:33.304930 +00:00,5,TEXT,fJsVwns7etKVcA3/ZIKOIB6oDJiEZ7d5/7V1Li/4CX4a2i4J1m3Zx2RHi7/i4Q8a
87,25,2024-03-27 22:25:37.549747 +00:00,6,TEXT,e/D1+HyFqCugkfkan1pRiKbVjVVvSZCX9dUatpa/1s/XuMeMUVoSKXenZ3m6YzAd
88,26,2024-03-27 22:25:41.196173 +00:00,7,TEXT,VAgjqJOVt5gJF07axDIWULLuiMoyq2sNl7oYHdM/C139HlgFV/Q6ecVdiuG/eV63
89,27,2024-03-27 22:25:45.182430 +00:00,8,TEXT,kdW1KYC7SUtX7kpRCWtc2sUycWktP3YfEaj6OEXpDMFwGuht1SROdbyWCojkumzv
90,28,2024-03-27 22:25:48.996170 +00:00,19,TEXT,7Ghh5KiY0IlnSOVOsNHQtyGWVDHHJHT2uOfw9vy2waD1CamTONKQPuI4kTx9aUTO
91,29,2024-03-27 22:25:54.566766 +00:00,9,TEXT,3SVjeG+D6fy4HpV7nK6nRF94rxPaikPHMOBTpRZpVdCevWR2Nu6SnNZ4msKIxfqj
92,30,2024-03-29 00:13:54.338126 +00:00,20,TEXT,mOealhfjaXwROCgWK6j2GImMrnx6SKETMq90ymRyVw8=
93,31,2024-03-29 00:14:04.050261 +00:00,20,TEXT,BTxrsXinj34FRWwFtM6KQ6C/HrbB2j4xexjs7cShvfc=
94,32,2024-03-29 00:14:11.437726 +00:00,20,TEXT,uvpqmrBMmtXIz4r1jnv6TIH0GRgk+KC8yRh3VN5rliA=
95,33,2024-03-29 00:14:17.850534 +00:00,20,TEXT,53pPDT+WaN8cYWOClyUAgMqzCrUkX53Xr8CL8oZOpB8=
96,33,2024-03-29 00:15:37.604393 +00:00,17,TEXT,6Lnf3tOHoh45ekVu/eQJFs5X+IzRAmKNaCRPQ9IHO3I=
97,32,2024-03-29 00:16:01.799942 +00:00,8,TEXT,HZfJfAbHLGQQvfVEd3l9WDS1A5fwMsjTh0dAIbCzTqs=
98,34,2024-03-30 08:16:40.034246 +00:00,8,TEXT,YQwzeyQ2CwTcqfZ4BTpodQg9EqmN9VczEBOj0IHZJvg=
